Committee,fullName,nonCore 
COAG,Committee for Agriculture,yes
CC,Competition Committee,no
CCP,Committee on Consumer Policy,no
CDEP,Committee on Digital Economy Policy,no
CFA,Committee on Fiscal Affairs,no
CFE,Working Party on SMEs and Entrepreneurship,yes
CIIE,Committee on Industry, Innovation, and Entrepreneurship,yes
CMF,Committee on Financial Markets,no
CSSP,The Committee on Statistics and Statistical Policy,no
CSTP,Committee on Scientific and Technological Policy,no
DAC,Development Assistance Committee,no
EDPC,Education Policy Committee,no
ELSAC,Employment, Labour and Social Affairs Committee,no
EPC,Economic Policy Committee,no
EPOC,Environment Policy Committee,yes
HC,Health Committee,yes
IC,Investment Committee,yes
IEA,International Energy Agency,no
IPPC,Insurance and Private Pensions Committee,no
PGC,Public Governance Committee,no
RPC,Regulatory Policy Committee,no
TC,Trade Committee,no
TUAC,Trade Union Advisory Committee,yes
ITF,International Transport Forum,yes
